0	MZ983572.1|31
1	MZ983590.1|31
2	MN901812.1|31
3	MN901819.1|31
4	MZ983585.1|31
5	MZ983565.1|31
6	OR777187.1|31
7	MZ983592.1|31
8	OM372572.1|31
9	MN901840.1|31
a	JF964962.1|61
b	MN901806.1|61
c	OQ518354.1|12
d	PP079215.1|12
e	MN901826.1|12
f	OQ518288.1|12
10	OQ518324.1|12
11	X73487.1|12
12	OR753095.1|12
13	PP068616.1|12
14	MN901805.1|12
15	KX868289.2|12
16	GU191019.1|18
