Accession	h1_clade
AB271113	Other-Avian
AB628080	Other-Human-1B.2
AF091310	Other-Avian
CY004507	Other-Avian
CY009316	Other-Human-1B.2
CY016963	Other-Human-1B.2
CY017235	Other-Human
CY019755	Other-Human
CY020189	Other-Human
CY020565	Other-Human-1B.2
CY021029	Other-Human
CY033614	Other-Human-1B.2
CY045852	Other-Human-1B.2
CY075856	Other-Human-1B.2
CY086839	Other-Human-1B.2
CY094927	Other-Avian
CY117691	Other-Human-1B.2
CY125076	Other-Human-1B.2
CY125084	Other-Human-1B.2
CY136973	Other-Avian
CY146085	Other-Avian
CY178994	Other-Avian
CY179139	Other-Avian
CY186648	Other-Avian
D00837	Other-Human
D00839	Other-Avian
DQ508873	Other-Human-1B.2
EF679200	Other-Avian
GU066779	Other-Avian
GU646016	Other-Human-1B.2
HQ896649	Other-Human-1B.2
JX477159	Other-Human-1B.2
JX477164	Other-Human-1B.2
KP658029	Other-Avian
KP658037	Other-Avian
KR863479	Other-Human-1B.2
KT715445	Other-Avian
KT715450	Other-Avian
KU976748	Other-Human-1B.2
AF116575	Other-Human
CY002984	Other-Human-1B.2
CY022149	Other-Human-1B.2
CY104020	Other-Human-1B.2
CY104822	Other-Human-1B.2
EU097934	Other-Human-1B.2
EU100706	Other-Human-1B.2
KP456570	Other-Human-1B.2
KU976716	Other-Human-1B.2
EU124177	Other-Human-1B.2
CY031336	Other-Human-1B.2
KP458398	Other-Human-1B.2
GU052518	Outgroup
EPI254034	1C.2
EPI254020	1B.1.2.2
HM461850	1B.2.2
AB573800	1A.1
GU454849	1A.1.2
AB571957	1A.5
HM223594	1A.1.3
CY061837	1A.1.3
CY061741	1A.3.3.1
CY061717	1C.2.3
CY062292	1A.1.2
AB514929	1A.5
FJ752510	1A.1.4
FJ752514	1A.1.4
FJ752522	1A.1.4
Z46435	1C.1
AB434416	1A.5
CY045703	1B.2.2.2
GQ161145	1B.1.2.1
CY040571	1A.3.3.3
CY040567	1A.3
CY040559	1A.3.3
CY040549	1A.3.3
CY040545	1A.3
EU604689	1A.3.3.3
AB434296	1A.1.2
AB434288	1A.1.2
AB434312	1A.1
FJ374511	1A.1.3
EU798787	1A.3.3.3
EU798780	1A.3.3.3
AB441170	1A.5
CY032213	1A.1
U72667	1C.1
U11857	1A.1.1
S67220	1A.1.1
EU163946	1C.2.2
EU139828	1A.3.3
EU139827	1A.4
EU053148	1B.1.2.1
DQ447187	1A.1.4
DQ280212	1B.2.2
CY028171	1A.1.1
CY024978	1A.1
CY022333	1A.1
CY022053	1A.1
CY010572	1C.2.1
AF455677	1A.3.3
AF091315	1C.1
AF085417	1B.1.1
AF085415	1B.1
AF085414	1B.1
AF085413	1B.1
AB294217	1A.5
GQ229333	1A.3.3.1
GQ229373	1A.3.3.1
GQ229317	1A.1.3
GQ229309	1A.3.3
GQ229365	1A.3.3.1
CY085774	1C.2.3
CY085702	1C.2.3
CY085606	1A.3.3.1
CY085590	1A.1.4
CY085310	1A.1.3
CY084993	1A.1.3
CY084961	1A.1.3
CY084665	1A.1
JF290391	1B.1.1
JQ906888	1A.3.2
JQ906886	1B.2.2.2
JQ906869	1B.2.2.1
JQ858402	1A.3.3.3
JQ809750	1A.3.2
JQ809720	1A.3.3.3-c2
JQ756324	1B.2.2.2
JN809149	1C.2.3
AB620170	1A.1
HQ541664	1A.3.3.1
JN375300	1A.3.3.1
JN375297	1A.3.3.1
JN375118	1A.1.3
HQ660240	1B.1.2.2
CY098516	1A.3.3
AB600852	1A.5
AB600851	1A.5
AB600850	1A.5
CY089803	1A.1.2
FJ844364	1A.1.4
FJ839909	1A.1.4
EPI356466	1A.3.3.2
CY099287	1A.3.3.3-c1
CY099043	1A.2
JF713984	1A.1.1.1
JF713966	1A.1.1.1
JF713907	1A.1.1.1
JF713885	1A.1.1.1
JF713874	1A.1.1.1
JF713859	1A.1.1.1
JF713826	1A.1.1
CY089407	1A.3.3.3-c3
CY087128	1A.1.3
CY087056	1A.1.3
CY086867	1A.3.3.1
CY086827	1A.3.3.1
AB741007	1A.5.3
JX422422	1A.3.3.3
JX843275	1B.1.2.2
CY115975	1A.1
CY122373	1A.3.2
JX092312	1A.3.3.3-c1
JX042537	1A.3.3.3-c1
JQ301932	1C.2.2
KC445241	1B.2.2.2
CY130525	1A.2
KC355856	1A.2
KC355844	1A.3.3.3-c2
JN043430	1A.1.1
KC134375	1A.3.2
JX657786	1A.2
JX952158	1A.3.3.3-c2
CY116539	1B.1.1
CY116396	1C.1
CY116268	1B.1
CY116214	1B.1.1
CY116206	1C.1
CY116111	1C.1
CY116020	1C.1
CY115896	Other-Human-1B.2
CY107835	1A.3.3.3
JQ638663	1B.2.1
KJ640780	1B.2.2.2
KJ437545	1B.2.2.1
KJ206094	1A.3.3.2
KJ162030	1A.1.2
KJ162023	1A.1.2
KJ130090	1B.2.1
CY159578	1A.3.3.3
CY158905	1A.3.3.3
CY158809	1A.3.2
CY157847	1A.3.3
CY157711	1A.3.2
CY157695	1A.1.1.1
CY157647	1A.3.3
CY157631	1A.3.2
CY157583	1A.2
CY159329	1B.2.2
CY159257	1A.3.2
CY159137	1A.3.2
CY159033	1A.1.1.1
CY158953	1A.3.3.3-c2
CY158881	1B.2.2
CY158489	1B.2.2.2
CY158449	1B.2.2
CY158297	1B.2.1
CY158233	1A.3.3.3
CY158105	1B.2.2
CY158081	1A.3.3.3-c1
CY157935	1A.3
CY157879	1A.2
CY157743	1A.3
CY147406	1A.1
HF674912	1B.1.2
AB762401	1A.5
KJ437539	1A.3.3.3-c3
KJ413325	1A.3.3.3-c3
JX908137	1B.1.2
JX908113	1B.1.2
JX908105	1B.1.2
JX908081	1B.1.2
KC748510	1B.2.2.1
KM507530	1B.2.4
KR859543	1A.1.1.2
KM289089	1A.3.3.2
KJ889348	1C.1
KF680291	1B.2.4
KM276908	1A.1.4
KM276896	1A.1.4
EPI596273	1C.1
KR066574	1C.2.4
KR066570	1C.2.5
KR066554	1C.2
KR066551	1C.2
KR066550	1C.2
KR066546	1C.2.5
KR066535	1C.2.5
KR066533	1C.2.5
KR066527	1C.2.4
KR066523	1C.2.4
KR859440	1A.3.3
KJ847661	1A.1.1.2
KP288118	1A.3.3.3-c2
KP288066	1A.3.3.3-c2
KP765824	1B.2.1
KP202356	1C.2
KR150919	1B.2.1
KR092053	1B.2.2.2
KR012368	1B.2.2.1
KP019674	1A.2
KM355360	1A.1.2
AB921004	1A.5.1
KJ739425	1A.3.3.3-c2
EPI537313	1A.3.3.4
EPI536956	1A.3.3.4
EPI533026	1A.3.3.4
EPI532688	1A.3.3.4
EPI662111	1C.2
CY195455	1A.1.1.1
CY195263	1A.1.1.2
CY194861	1A.1.1.3
CY194837	1A.1.1.3
CY194365	1A.1.1.2
KJ128310	1B.1.2.3
KJ128306	1B.1.2.3
KJ128303	1B.1.2.3
KT362190	1C.2.5
KT965374	1B.2.1
KT828210	1A.3.3.3-c2
KR700735	1B.1.1
KR700695	1B.1.1
KR700727	1C.1
KR700592	1B.1.2
KR700616	1B.1.1
KR700601	1B.1
KR700461	1B.1.1
KR700334	1B.1.1
KR700310	1B.1.2.3
KR700216	1B.1.2.3
KR700121	1C.2
KR700035	1C.2
KR699924	1C.2.1
KR699813	1C.2.1
KU598278	1A.2
KU379628	1A.3.3.3-c2
KU379625	1A.3.3.3-c1
