accession	clade
EPI1996298	Other-Human-2020
EPI2039231	Other-Human-2020
EPI2106127	Other-Human-2020
EPI2248578	Other-Human-2020
EPI2305026	Other-Human-2020
EPI1922749	Other-Human-2020
EPI1937529	Other-Human-2020
EPI1987892	Other-Human-2020
EPI2274130	Other-Human-2020
EPI2233638	Other-Human-2020
EPI7550	1990.1
EPI19234	1970.1
EPI32596	1970.1
EPI103014	1980.1
EPI163994	1990.1
EPI171764	1970.1
EPI173003	1990.3
EPI174996	2000.2
EPI175004	2000.2
EPI175349	1980.1
EPI220752	2000.2
EPI222619	2000.2
EPI222627	2000.2
EPI235257	1970.1
EPI273354	1990.1
EPI281211	1990.4
EPI287478	2000.2
EPI287479	2000.2
EPI287480	2000.2
EPI287481	2000.2
EPI314312	1980.1
EPI316990	1990.4.e
EPI317003	1990.4.a
EPI321754	2000.1
EPI324309	2000.4
EPI336816	1990.4.c
EPI338545	1990.4.f
EPI347256	1990.4.d
EPI354984	1990.4
EPI367604	1990.4.d
EPI367698	1990.4.d
EPI367701	1990.4.f
EPI367785	1990.4.k
EPI377750	1990.4.e
EPI383869	1990.3
EPI384707	1990.4.d
EPI390844	1990.4.k
EPI391041	1990.4.d
EPI391366	1990.4.c
EPI391396	1990.4.b1
EPI392774	1990.1
EPI399030	1990.4.b1
EPI399168	1990.4.f
EPI399270	1990.4.i
EPI399348	1990.4.f
EPI399396	1990.4.f
EPI399441	1990.4.f
EPI399513	1990.4.e
EPI401609	1990.4.a
EPI414060	1990.4.d
EPI414952	1990.4
EPI416867	1990.4.k
EPI420403	1990.4.c
EPI446956	1990.4.d
EPI447085	2000.1
EPI460369	1990.4.e
EPI460980	2000.2
EPI471790	1990.3
EPI489000	1990.4.f
EPI489259	1990.4.b2
EPI489273	1990.4.g
EPI490235	1990.4
EPI490687	1990.4.f
EPI491671	1990.4
EPI492655	1990.4.a
EPI499632	1990.4.f
EPI505030	1990.4.a
EPI508797	1990.4.e
EPI508840	1990.4.b1
EPI524391	1990.4.g
EPI524407	1990.4.g
EPI528282	2000.4
EPI530357	1990.4.d
EPI532373	1990.4.a
EPI532680	2000.4
EPI532720	2000.4
EPI536661	1990.3
EPI537155	2000.4
EPI538931	2000.4
EPI539340	2000.5
EPI542006	1980.1
EPI542007	1980.1
EPI542008	1980.1
EPI542171	1980.1
EPI542173	1980.1
EPI542177	1980.1
EPI544946	1990.4.b1
EPI548401	1990.4.g
EPI558884	1990.4.d
EPI560255	1990.4.c
EPI560259	1990.4.k
EPI572293	1990.3
EPI573014	1990.4.e
